,Date,Open,High,Low,Close,adj_close,Volume,upper,middle,lower,macd,macd_signal,macd_hist
102,2023-06-05,5800.0,5840.0,5705.0,5812.75,5812.75,171968,5747.726711095503,5421.63251953125,5095.538327966998,179.68170923266462,163.5940315450726,16.08767768759202
103,2023-06-06,5950.0,6160.0,5913.2001953125,6139.14990234375,6139.14990234375,345465,5905.420206668994,5468.4625244140625,5031.504842159131,214.98815777284563,173.8728567906272,41.11530098221843
104,2023-06-07,6190.0,6315.0,6140.0,6177.7001953125,6177.7001953125,369294,6040.103449842394,5511.720043945313,4983.336638048231,243.27513475456544,187.75331238341485,55.52182237115059
105,2023-06-08,6221.89990234375,6380.0,6190.0,6276.10009765625,6276.10009765625,279929,6176.098349354099,5558.500048828125,4940.901748302151,270.5144948587804,204.30554887848797,66.20894598029241
106,2023-06-09,6273.4501953125,6430.0,6231.0,6262.4501953125,6262.4501953125,214198,6282.468234736358,5607.587548828125,4932.706862919893,287.68420649296513,220.9812804013834,66.70292609158173
107,2023-06-12,6193.89990234375,6298.0,6083.0498046875,6199.5498046875,6199.5498046875,148104,6361.506827500073,5648.8150390625,4936.123250624926,292.8401122933328,235.35304677977328,57.48706551355954
108,2023-06-13,6256.2001953125,6371.2998046875,6167.0,6186.0,6186.0,176397,6424.124313938428,5692.555029296875,4960.9857446553215,292.4615342724719,246.774744278313,45.686789994158914
109,2023-06-14,6210.0,6300.0,6145.2001953125,6237.2998046875,6237.2998046875,276262,6483.231699107178,5740.222509765625,4997.213320424071,292.92432469533014,256.00466036171645,36.919664333613696
110,2023-06-15,6457.0498046875,6774.0,6457.0498046875,6770.2001953125,6770.2001953125,329935,6645.347977144626,5818.090014648437,4990.832052152248,332.4593133135777,271.2955909520887,61.16372236148902
111,2023-06-16,6799.0,7451.0,6776.0,7373.85009765625,7373.85009765625,469235,6960.785845014707,5918.840014648437,4876.894184282168,407.79971753690825,298.5964162690526,109.20330126785564
112,2023-06-21,7460.75,7850.0,7310.0,7807.60009765625,7807.60009765625,467131,7337.672329616544,6039.747509765625,4741.822689914707,496.78094913596215,338.2333228424345,158.54762629352763
113,2023-06-22,7799.9501953125,7808.0,7401.0498046875,7544.64990234375,7544.64990234375,367274,7560.6434432130645,6150.2650146484375,4739.8865860838105,539.8581839634444,378.5582950666365,161.2998888968079
114,2023-06-23,7413.10009765625,7790.0,7375.2998046875,7644.10009765625,7644.10009765625,275688,7763.276418192533,6267.152514648437,4771.0286111043415,575.3892731670167,417.92449068671255,157.4647824803041
115,2023-06-26,8033.75,8231.5,7694.25,7889.2001953125,7889.2001953125,350385,7996.39804304841,6386.19501953125,4775.991996014091,616.2220229467584,457.5839971387217,158.63802580803673
